state,state_abbr,tract_count,population,low_income_population,low_access_population,low_access_population_pct,low_income_low_access_population,low_income_low_access_population_pct,lila_tract_count,lila_tract_pct,low_access_children_pct,low_access_seniors_pct,low_access_no_vehicle_housing_units_pct,low_access_snap_housing_units_pct,period,food_insecurity_pct,food_insecurity_moe_pp,very_low_food_security_pct,very_low_food_security_moe_pp
Kentucky,KY,1306,4505836,2866115,672664,14.928727987436737,499296,17.42065478879947,89,6.814701378254211,15.748540025989886,14.36612227712899,10.12647918753614,9.376123771691407,2022-2024,18.8,2.8,9.0,2.24
Louisiana,LA,1379,4657757,2785064,864138,18.55266386803777,568349,20.407035529524634,163,11.820159535895577,19.28175723342982,17.470644427060197,12.551151566024867,14.91922843159208,2022-2024,17.7,2.29,6.8,1.24
Maine,ME,401,1362359,996707,169655,12.453031836689155,129290,12.971715860328061,27,6.733167082294265,11.706715713866668,13.805386006080214,11.4275120504264,9.932765826588948,2022-2024,12.9,2.75,4.6,1.44
Maryland,MD,1464,6177224,4796578,1616149,26.16303051338271,1373812,28.641502337708257,132,9.01639344262295,26.496855410558712,27.42196965472491,12.135267655020277,15.595863770040793,2022-2024,11.5,1.79,4.8,1.17
Massachusetts,MA,1613,7029917,5384914,1490210,21.19811656382287,1260673,23.411200253151677,82,5.083694978301302,21.897841741363234,24.15578005306108,7.799542661927983,11.241574148716428,2022-2024,11.7,1.53,3.9,0.88
Michigan,MI,2971,10077331,6978319,1711797,16.986610839715397,1335548,19.138534652829716,167,5.621003029283069,16.87123074596956,17.79220060029461,10.671090955499533,9.20360610616525,2022-2024,14.7,1.99,6.3,1.06
Minnesota,MN,1502,5706494,4370522,1203615,21.092022527317123,1002429,22.9361389783646,141,9.387483355525966,22.1205029978117,21.010372982840913,12.896622978303107,13.324833343408752,2022-2024,9.9,1.69,3.7,0.95
Mississippi,MS,875,2961279,1708893,438562,14.80988451273926,288612,16.88882803077782,91,10.4,14.887227942897262,14.57529128014114,12.13941642212502,11.604719687766549,2022-2024,17.3,1.62,6.9,0.91
Missouri,MO,1654,6154913,4235976,1221383,19.84403353873564,938769,22.16181111507714,186,11.24546553808948,20.624722232493124,19.972684009475234,12.73709159641175,12.143039549900486,2022-2024,13.3,2.16,5.9,1.06
Montana,MT,319,1084225,774140,228614,21.085475800687128,166073,21.45257963675821,46,14.420062695924765,21.576065134001418,22.05236827803403,17.327746741154563,16.565290178571427,2022-2024,11.7,1.71,4.2,0.94
Nebraska,NE,553,1961504,1422681,351013,17.89509478441033,280069,19.68600128911541,47,8.499095840867993,18.465852316858854,18.666426013001523,13.04971098265896,12.44670735821857,2022-2024,12.7,1.92,5.3,1.28
Nevada,NV,779,3104614,2196163,553990,17.844086253556803,456425,20.78283806803047,33,4.2362002567394095,16.88529238175695,23.514927427919602,7.826189772391369,9.569885433715221,2022-2024,15.0,2.17,6.1,1.51
New Hampshire,NH,349,1377529,1117351,311596,22.61992306514055,263370,23.570928025302702,31,8.882521489971346,22.66234246580676,22.324537326003746,18.921142319896582,14.58531086853346,2022-2024,9.1,1.81,4.4,1.35
New Jersey,NJ,2175,9288994,7189534,1946102,20.95062177884925,1665270,23.162419149836413,99,4.551724137931035,20.19022913964548,25.255224485877676,8.86951655590039,8.806005496936798,2022-2024,9.8,1.43,3.5,0.87
New Mexico,NM,612,2117522,1301225,453043,21.39496071351325,308109,23.678379988088146,103,16.830065359477125,21.569672311000495,22.48426025096688,13.772505825037069,16.757710784222333,2022-2024,14.5,2.2,6.5,1.4
New York,NY,5394,20201249,13802561,2026275,10.030444157190479,1616258,11.709841383783777,115,2.131998516870597,9.919394405309456,11.796949126087807,2.0184346431492353,3.751629041773464,2022-2024,14.0,1.29,5.6,0.85
North Carolina,NC,2660,10439388,7252346,2601369,24.91878834276492,2003614,27.62711541892789,319,11.992481203007518,25.95555991382877,24.06093946289582,17.174213051192744,16.41136252943352,2022-2024,11.8,1.66,4.4,0.99
North Dakota,ND,228,779094,571833,181413,23.285123489591758,138101,24.1505824252885,15,6.578947368421052,24.40970267922033,23.718198023010856,14.254937163375224,16.85785078461962,2022-2024,9.0,1.62,4.1,0.97
Ohio,OH,3162,11799448,8139086,2190404,18.563614162289625,1743678,21.423511190322845,182,5.755850727387729,18.712667146626046,19.822375311329345,10.640816034438151,10.209545137753468,2022-2024,14.2,1.45,6.2,0.96
Oklahoma,OK,1205,3959353,2520795,538549,13.60194456013394,384166,15.23987472206189,76,6.3070539419087135,13.983376464573528,13.371450270871167,9.11226196750613,9.278941525469998,2022-2024,16.9,2.78,6.0,1.38
Oregon,OR,994,4237256,3032783,633023,14.939456100835068,498192,16.42689239553242,89,8.953722334004024,16.03154381932232,15.605804494483769,8.70207821852907,10.55494906045648,2022-2024,12.5,2.37,5.7,1.59
Pennsylvania,PA,3445,13002700,9250170,2119033,16.296869111799857,1747077,18.886971807004628,103,2.9898403483309144,16.61818574396637,17.58262204527167,6.78098122217814,7.5728757221621334,2022-2024,10.9,1.3,3.7,0.78
Rhode Island,RI,247,1097379,803000,147647,13.454512980474385,123363,15.362764632627647,4,1.6194331983805668,13.193984317277213,15.934271504182858,6.2982960174361,6.272097641303821,2022-2024,10.6,2.58,5.1,1.68
South Carolina,SC,1317,5118425,3507847,1309761,25.589141190893685,1017466,29.005426975577898,142,10.782080485952923,26.551656981878953,26.15100967024058,16.675340123410898,15.370451871345555,2022-2024,13.5,1.6,5.8,1.23
South Dakota,SD,242,886667,635531,203446,22.945028968034222,150896,23.743294976956278,22,9.090909090909092,23.67808584622744,23.461118455083625,17.56000627516603,17.906766708350702,2022-2024,9.5,1.48,3.4,1.3
Tennessee,TN,1701,6910840,4708409,1400297,20.26232701089882,1075806,22.848609795793017,166,9.75896531452087,20.9051296313403,20.43183496372834,13.503691778914407,13.02502627987908,2022-2024,13.3,1.72,5.8,1.2
Texas,TX,6884,29145505,20236747,4677334,16.04821738377839,3777670,18.667377716388902,550,7.989540964555491,16.58695349030507,15.948366990679995,9.361204404564974,9.79649052020965,2022-2024,17.6,1.01,6.6,0.63
Utah,UT,716,3271616,2571786,815164,24.916249339775817,698200,27.148448587868508,54,7.5418994413407825,27.380601858447704,25.23435228668638,13.044999344032886,15.81600288031272,2022-2024,11.5,1.59,4.3,1.02
Vermont,VT,193,643077,475553,69503,10.807881482310828,54795,11.522375003417075,4,2.0725388601036268,11.395927315654117,10.580854842976455,9.946093240921746,8.855135358545153,2022-2024,9.4,1.78,3.7,1.29
Virginia,VA,2186,8631393,6497455,2006466,23.246143467224815,1668887,25.685241375276934,219,10.018298261665143,25.20119660357974,22.937079075261003,12.841094621926555,13.174104255173916,2022-2024,12.4,1.69,5.3,1.05
Washington,WA,1772,7705281,5962585,1626630,21.11058636278158,1344721,22.552651241030524,171,9.650112866817155,22.472378780810573,22.061068580389453,10.023783523663218,13.458823529411765,2022-2024,11.0,1.17,3.9,0.73
West Virginia,WV,546,1793716,1103223,204020,11.374152875929077,140392,12.725623015473753,29,5.311355311355311,11.848363563794404,11.190278326498916,10.212432229685955,9.764807877385127,2022-2024,14.1,1.86,4.3,0.99
Wisconsin,WI,1528,5893718,4329671,956860,16.235252518020033,768019,17.73850715216006,73,4.777486910994765,16.172786709723134,16.996331190914862,11.351566146510073,10.862450947740339,2022-2024,12.0,1.75,4.4,0.81
Wyoming,WY,160,576851,418718,155927,27.030723705081556,116111,27.730119077756388,23,14.375,26.39727260652036,28.008677556148893,21.908696966643152,21.572532462359597,2022-2024,15.6,2.69,6.4,1.43
